Time,Aggregate,Fridge,Fridge_ON,Fridge_Freezer,Fridge_Freezer_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,Computer_Site,Computer_Site_ON,Microwave,Microwave_ON,Kettle,Kettle_ON,Router,Router_ON,Hi_Fi,Hi_Fi_ON
2014-04-01 00:00:00,175.0,123.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,172.0,116.0,1,0.0,0,0.0,0,0.0,0,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,169.0,109.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,174.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,192.0,124.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,13.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,188.0,131.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,1
2014-04-01 00:00:48,168.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,158.0,116.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:04,168.0,118.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,1280.0,117.0,1,0.0,0,0.0,0,0.0,0,1103.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,1262.0,116.0,1,0.0,0,0.0,0,0.0,0,1100.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:28,1285.0,119.0,1,0.0,0,0.0,0,0.0,0,1109.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,1267.0,117.0,1,0.0,0,0.0,0,0.0,0,1105.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,1291.0,124.0,1,0.0,0,0.0,0,0.0,0,1114.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,1261.0,109.0,1,0.0,0,0.0,0,0.0,0,1100.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,1268.0,128.0,1,0.0,0,0.0,0,0.0,0,1092.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,1321.0,114.0,1,0.0,0,0.0,0,0.0,0,1150.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,1296.0,129.0,1,0.0,0,0.0,0,0.0,0,1114.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,1270.0,129.0,1,0.0,0,0.0,0,0.0,0,1087.0,1,0.0,0,13.0,0,0.0,0,0.0,0
2014-04-01 00:02:32,1278.0,131.0,1,0.0,0,0.0,0,0.0,0,1097.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:40,1310.0,122.0,1,0.0,0,0.0,0,0.0,0,1120.0,1,0.0,0,16.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,1326.0,118.0,1,0.0,0,0.0,0,0.0,0,1107.0,1,0.0,0,8.0,0,41.0,1,0.0,0
2014-04-01 00:02:56,1266.0,118.0,1,0.0,0,0.0,0,0.0,0,1090.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:04,1308.0,125.0,1,0.0,0,0.0,0,0.0,0,1078.0,1,0.0,0,0.0,0,46.0,1,0.0,0
2014-04-01 00:03:12,1258.0,119.0,1,0.0,0,0.0,0,0.0,0,1088.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:20,1262.0,118.0,1,0.0,0,0.0,0,0.0,0,1090.0,1,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:28,168.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:36,163.0,109.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:44,229.0,108.0,1,0.0,0,0.0,0,75.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:03:52,262.0,122.0,1,0.0,0,0.0,0,80.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,246.0,119.0,1,0.0,0,0.0,0,77.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:08,253.0,121.5,1,0.0,0,0.0,0,77.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:16,279.0,124.0,1,0.0,0,0.0,0,78.0,1,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,247.0,115.0,1,0.0,0,0.0,0,79.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:32,262.0,117.0,1,0.0,0,0.0,0,78.0,1,1.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,258.0,124.0,1,0.0,0,0.0,0,80.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,269.25,121.5,1,0.0,0,0.0,0,79.75,1,0.75,0,0.0,0,3.75,0,11.25,1,0.0,0
2014-04-01 00:04:56,280.5,119.0,1,0.0,0,0.0,0,79.5,1,0.5,0,0.0,0,7.5,0,22.5,1,0.0,0
2014-04-01 00:05:04,259.75,118.0,1,0.0,0,0.0,0,76.75,1,0.75,0,0.0,0,3.75,0,11.25,1,0.0,0
