Time,Aggregate,Fridge_Freezer,Fridge_Freezer_ON,Television_Site_Lounge,Television_Site_Lounge_ON,Microwave,Microwave_ON,Kettle,Kettle_ON,Toaster,Toaster_ON,Television_Site_Bedroom,Television_Site_Bedroom_ON,Not_Used,Not_Used_ON,Not_Used_1,Not_Used_1_ON,Not_Used_2,Not_Used_2_ON
2014-04-01 00:00:00,161.5,112.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,173.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,168.0,116.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,163.0,113.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,179.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,177.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,166.0,111.5,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,192.25,115.25,1,0.0,0,0.0,0,0.0,0,0.75,0,0.0,0,0.0,0,22.75,1,0.0,0
2014-04-01 00:01:04,218.5,119.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,45.5,1,0.0,0
2014-04-01 00:01:12,205.75,121.0,1,0.0,0,0.0,0,0.0,0,0.25,0,0.0,0,7.0,0,22.75,1,0.0,0
2014-04-01 00:01:20,193.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:01:28,172.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,165.0,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,206.0,115.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,45.0,1,0.0,0
2014-04-01 00:01:52,171.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,191.5,117.5,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,21.5,1,0.0,0
2014-04-01 00:02:08,216.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,43.0,1,0.0,0
2014-04-01 00:02:16,172.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:24,196.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,21.0,1,0.0,0
2014-04-01 00:02:32,185.0,120.25,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,10.5,1,0.0,0
2014-04-01 00:02:40,174.0,118.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:48,232.0,125.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.666666666666667,0,45.0,1,0.0,0
2014-04-01 00:02:56,212.5,124.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,11.333333333333334,1,22.5,1,0.0,0
2014-04-01 00:03:04,193.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,17.0,1,0.0,0,0.0,0
2014-04-01 00:03:12,195.28571428571428,121.85714285714286,1,0.0,0,0.0,0,0.0,0,0.8571428571428572,0,0.0,0,14.571428571428571,1,6.0,0,0.0,0
2014-04-01 00:03:20,197.57142857142858,120.71428571428571,1,0.0,0,0.0,0,0.0,0,0.7142857142857143,0,0.0,0,12.142857142857142,1,12.0,1,0.0,0
2014-04-01 00:03:28,199.85714285714286,119.57142857142857,1,0.0,0,0.0,0,0.0,0,0.5714285714285714,0,0.0,0,9.714285714285715,0,18.0,1,0.0,0
2014-04-01 00:03:36,202.14285714285714,118.42857142857143,1,0.0,0,0.0,0,0.0,0,0.4285714285714286,0,0.0,0,7.2857142857142865,0,24.0,1,0.0,0
2014-04-01 00:03:44,204.42857142857142,117.28571428571429,1,0.0,0,0.0,0,0.0,0,0.2857142857142858,0,0.0,0,4.857142857142858,0,30.0,1,0.0,0
2014-04-01 00:03:52,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:00,209.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,42.0,1,0.0,0
2014-04-01 00:04:08,191.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:04:16,2352.0,126.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2178.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:24,2289.0,117.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2116.0,1,0.0,0,0.0,0,11.0,1
2014-04-01 00:04:32,2354.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2187.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:40,2344.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2179.5,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:48,2334.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2172.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:04:56,2395.0,112.0,1,0.0,0,0.0,0,0.0,0,0.0,0,2175.0,1,15.0,1,42.0,1,0.0,0
2014-04-01 00:05:04,2391.5,117.0,1,0.0,0,0.0,0,0.0,0,0.5,0,2219.5,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:12,2436.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2266.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:20,2379.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2209.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:28,2322.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2152.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:36,2263.0,120.0,1,0.0,0,0.0,0,0.0,0,1.0,0,2087.0,1,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:44,181.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:05:52,224.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,44.0,1,0.0,0
2014-04-01 00:06:00,169.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:08,188.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:06:16,181.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:24,188.0,121.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:06:32,179.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:40,169.0,120.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:06:48,187.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:06:56,216.0,118.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,45.0,1,0.0,0
2014-04-01 00:07:04,199.5,128.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:07:12,183.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,1,0.0,0,0.0,0
2014-04-01 00:07:20,172.0,123.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:28,194.0,117.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:07:36,189.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:07:44,176.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:07:52,193.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,1,0.0,0,0.0,0
2014-04-01 00:08:00,182.0,114.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:08:08,199.0,110.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.0,1,0.0,0
2014-04-01 00:08:16,174.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:24,173.5,117.0,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:32,188.0,127.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:40,212.0,122.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,44.0,1,0.0,0
2014-04-01 00:08:48,184.0,124.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:08:56,161.0,119.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:09:04,211.0,117.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,42.0,1,0.0,0
2014-04-01 00:09:12,210.66666666666666,116.33333333333333,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,42.333333333333336,1,0.0,0
2014-04-01 00:09:20,210.33333333333334,115.66666666666667,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,42.666666666666664,1,0.0,0
2014-04-01 00:09:28,210.0,115.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.0,1,0.0,0
2014-04-01 00:09:36,209.66666666666666,114.33333333333333,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.333333333333336,1,0.0,0
2014-04-01 00:09:44,209.33333333333334,113.66666666666667,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,43.666666666666664,1,0.0,0
2014-04-01 00:09:52,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:00,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:08,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:16,208.0,111.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,1,0.0,0
2014-04-01 00:10:24,56.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:32,62.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0,1,0.0,0,0.0,0
2014-04-01 00:10:40,52.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:48,64.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:10:56,52.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:04,49.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:12,56.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:20,65.0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,1,0.0,0,0.0,0
2014-04-01 00:11:28,56.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:11:36,73.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0
