Time,Aggregate,Freezer_Utility_Room,Freezer_Utility_Room_ON,Washing_Machine,Washing_Machine_ON,Dishwasher,Dishwasher_ON,MJY_Computer,MJY_Computer_ON,Television_Site,Television_Site_ON,Microwave,Microwave_ON,Kettle,Kettle_ON,Toaster,Toaster_ON,PGM_Computer,PGM_Computer_ON
2014-04-01 00:00:00,166.5,114.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:08,166.25,115.25,1,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:16,166.0,116.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:24,194.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:00:32,175.0,119.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:40,171.0,125.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:48,163.0,109.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:00:56,241.0,123.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,16.0,0,44.0,0,0.0,0
2014-04-01 00:01:04,188.0,128.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:01:12,173.0,118.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:20,183.0,131.0,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,9.0,0
2014-04-01 00:01:28,178.0,115.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:36,243.0,117.0,1,0.0,0,0.0,0,80.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:01:44,261.0,109.0,1,0.0,0,0.0,0,78.0,1,0.0,0,0.0,0,15.0,0,0.0,0,0.0,0
2014-04-01 00:01:52,248.0,118.0,1,0.0,0,0.0,0,79.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:00,264.0,113.0,1,0.0,0,0.0,0,80.0,1,1.0,0,0.0,0,14.0,0,0.0,0,0.0,0
2014-04-01 00:02:08,263.0,130.0,1,0.0,0,0.0,0,81.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2014-04-01 00:02:16,255.0,122.0,1,0.0,0,0.0,0,82.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
